event, date, match, matchType, matchNum, color, autoSwitchTime, autoScaleTime, autoScore, autoSwitchAtZero, youtube 
2018abca,1523114079,2018abca_qm55,qm,55,red,5,15,35,True,"no video"
2018abca,1523114698,2018abca_qm56, qm,56,blue,13,15, 19,True,"no video"
2018abca,1523114698,2018abca_qm56,qm,56,red,7,15,31,True,"no video"
2018abca,1523115168,2018abca_qm57, qm,57,blue,7,15, 31,True,"no video"
2018abca,1523115168,2018abca_qm57,qm,57,red,9,15,17,True,"no video"
2018abca,1523115831,2018abca_qm58, qm,58,blue,8,15, 29,True,"no video"
2018abca,1523115831,2018abca_qm58,qm,58,red,15,15,10,False,"no video"
2018abca,1523116268,2018abca_qm59, qm,59,blue,15,15, 10,False,"no video"
2018abca,1523116268,2018abca_qm59,qm,59,red,6,15,33,True,"no video"
2018abca,1523031164,2018abca_qm6, qm,6,blue,7,15, 26,True,"no video"
2018abca,1523031164,2018abca_qm6,qm,6,red,15,15,10,False,"no video"
2018abca,1523116832,2018abca_qm60, qm,60,blue,8,9, 41,True,"no video"
2018abca,1523116832,2018abca_qm60,qm,60,red,15,15,10,False,"no video"
2018abca,1523117242,2018abca_qm61, qm,61,blue,5,15, 35,True,"no video"
2018abca,1523117242,2018abca_qm61,qm,61,red,8,15,24,True,"no video"
2018abca,1523117623,2018abca_qm62, qm,62,blue,5,15, 35,True,"no video"
2018abca,1523117623,2018abca_qm62,qm,62,red,14,15,17,True,"no video"
2018abca,1523118024,2018abca_qm63, qm,63,blue,4,15, 37,True,"no video"
2018abca,1523118024,2018abca_qm63,qm,63,red,15,15,10,False,"no video"
2018abca,1523118446,2018abca_qm64, qm,64,blue,7,15, 31,True,"no video"
2018abca,1523118446,2018abca_qm64,qm,64,red,15,15,10,False,"no video"
2018abca,1523118861,2018abca_qm65, qm,65,blue,12,15, 21,True,"no video"
2018abca,1523118861,2018abca_qm65,qm,65,red,6,15,33,True,"no video"
2018abca,1523119390,2018abca_qm66, qm,66,blue,8,15, 29,True,"no video"
2018abca,1523119390,2018abca_qm66,qm,66,red,15,15,10,False,"no video"
